Name,Review,Number of Stars,Cleaned_Review
AARDY,"Denise was terrific!  I had put in some parameters on your website for a trip to Tanzania and had received a quote, but I had questions.  I called your phone support number, and Denise pointed out considerations for a trip like ours.  She was clear, direct, and helped me book a policy that would best meet our needs, in just a few minutes..",5.0,denise terrific put parameter website trip tanzania received quote question called phone support number denise pointed consideration trip like clear direct helped book policy would best meet need minute
AARDY,"The website is clear, informative and easy to navigate. I decided to call the office to clear up my own issues and was very efficiently helped by Denise, one of the agents. Denise was friendly, answered my questions simply and accurately, and actually filled out the application for me. I certainly give her a 5 out of five, and generally recommend Aardy.com to anyone needing travel insurance.",5.0,website clear informative easy navigate decided call office clear issue efficiently helped denise one agent denise friendly answered question simply accurately actually filled application certainly give five generally recommend aardycom anyone needing travel insurance
AARDY,"After looking online at AARDY for a travel insurance policy, I called in to the company to have some questions answered.  I spoke to agent Sylvia, who was very helpful and informative.  She spent a lot of time answering my questions, and giving details about the policy that were a little hard to understand.  I needed a few days to cancel a previous policy with another company that I was not happy with.  So when I called back today, she helped me buy the policy, and explained all the documents I would receive via email,  with necessary information to know if I am to need to make a claim.  I could not be happier with the service I received!",5.0,looking online aardy travel insurance policy called company question answered spoke agent sylvia helpful informative spent lot time answering question giving detail policy little hard understand needed day cancel previous policy another company happy called back today helped buy policy explained document would receive via email necessary information know need make claim could happier service received
AARDY,The agent was friendly and knowledgeable.  She looked up my previous trip records and helped me decide which policy was good for me.  She was easy to understand and she understood my needs.  I have used this company before and have always been satisfied with the help and expertise.  Ira from NC,5.0,agent friendly knowledgeable looked previous trip record helped decide policy good easy understand understood need used company always satisfied help expertise ira nc
AARDY,"She took the time to make sure I understood all my options and help me make the right decision on my travel insurance. And even though I needed to call back 3 times she was always pleasant.  This is the second time I have used this company, and I would highly recommend Denise and AARDY.",5.0,took time make sure understood option help make right decision travel insurance even though needed call back time always pleasant second time used company would highly recommend denise aardy
AARDY,"AARDY provided a wide range of insurance options. I originally viewed options online, however followed-up with a direct call.  I was assisted by Terry and Sylvia on two separate calls.  Both team members were knowledgeable on policy options, and asked me questions to assist me in making an informed decision. My information had remained in the system which allowed Sylvia (call #2) to pick-up the discussion seamlessly. Pricing was indeed the best of all options and policy coverage is above average.  Excellent experience all around and would highly recommend using AARDY.",5.0,aardy provided wide range insurance option originally viewed option online however followedup direct call assisted terry sylvia two separate call team member knowledgeable policy option asked question assist making informed decision information remained system allowed sylvia call pickup discussion seamlessly pricing indeed best option policy coverage average excellent experience around would highly recommend using aardy
AARDY,"I'm happy with the phone and the deal I got from the company. I wanted a good smartphone that did the basics, and the site recommended one that ticked all the boxes. Speaking with the service team helped me get exactly what I was looking for.",5.0,im happy phone deal got company wanted good smartphone basic site recommended one ticked box speaking service team helped get exactly looking
AARDY,"Miranda was friendly, knowledgeable, and patient while this 85yo tried to understand what I needed. I had talked with her some days ago. I could have bought the insurance online. I called just to speak to Miranda again.",5.0,miranda friendly knowledgeable patient yo tried understand needed talked day ago could bought insurance online called speak miranda
AARDY,"The website is clear, informative and easy to navigate. I decided to call the office to clear up my own issues and was very efficiently helped by Denise, one of the agents. Denise was friendly, answered my questions simply and accurately, and actually filled out the application for me. I certainly give her a 5 out of five, and generally recommend Aardy.com to anyone needing travel insurance.",5.0,website clear informative easy navigate decided call office clear issue efficiently helped denise one agent denise friendly answered question simply accurately actually filled application certainly give five generally recommend aardycom anyone needing travel insurance
AARDY,"My phone call with questions was dealt with both courtesy and professionalism.  All my questions were answered and I felt no pressure to purchase any policy without having time to think and compare.My agent, Sylvia was great and she followed up immediately with an email which outlined our conversation.",5.0,phone call question dealt courtesy professionalism question answered felt pressure purchase policy without time think comparemy agent sylvia great followed immediately email outlined conversation
