Name,Review,Number of Stars,Cleaned_Review,Corrected_Review,Generated_Text,Summary
AARDY,"My phone call with questions was dealt with both courtesy and professionalism.  All my questions were answered and I felt no pressure to purchase any policy without having time to think and compare.My agent, Sylvia was great and she followed up immediately with an email which outlined our conversation.",5,phone call question dealt courtesy professionalism question answered felt pressure purchase policy without time think comparemy agent sylvia great followed immediately email outlined conversation,phone call question dealt courtesy professionalism question answered felt pressure purchase policy without time think compared agent sylvis great followed immediately email outlined conversation,agent personable good job parsing detail,phone call question dealt courtesy professionalism question answered felt pressure purchase policy without time think comparemy agent sylvia great followed immediately email outlined conversation
AARDY,"My wife and I are planning a trip to Alaska and wanted to get travel insurance to help us with any unforeseen events that might impact this expensive trip. Comparing  travel insurance policies can be very confusing. We worked with Stacy who carefully listened to our concerns, answered our questions, and found a policy that met our needs. Feeling very confident that we made a good choice. Thank you!",5,wife planning trip alaska wanted get travel insurance help u unforeseen event might impact expensive trip comparing travel insurance policy confusing worked stacy carefully listened concern answered question found policy met need feeling confident made good choice thank,wife planning trip alaska wanted get travel insurance help u unforeseen event might impact expensive trip comparing travel insurance policy confusing worked stay carefully listened concern answered question found policy met need feeling confident made good choice thank,began chat name kardy answered question helped compare travel insurance site simplified process great,wife planning trip alaska wanted get travel insurance help u unforeseen event might impact expensive trip comparing travel insurance policy confusing worked stacy carefully listened concern answered question found policy met need feeling confident made good choice thank
AARDY,5 star review:The first person was helpful in transferring me to a phone call so that I could better communicate any concerns or questions. Amanda did a great job answering my question as they came up and giving me important information and making sure I understood what I needed to do and how to make sure I was covered properly.  Thanks Amanda,5,star reviewthe first person helpful transferring phone call could better communicate concern question amanda great job answering question came giving important information making sure understood needed make sure covered properly thanks amanda,star reviewthe first person helpful transferring phone call could better communicate concern question mania great job answering question came giving important information making sure understood needed make sure covered properly thanks mania,quick easy use website quote come easy use compare plan went associated aarp felt could trust offered good insurance product,star reviewthe first person helpful transferring phone call could better communicate concern question amanda great job answering question came giving important information making sure understood needed make sure covered properly thanks amanda
AARDY,"I was comparing policies to get the right one for my international trip. Christianna called me to talk about my needs and concerns. We discussed a few different options available and problems I had with determining the value of the trip. She was very helpful and patient, spending as much time as I needed determine the right policy.",5,comparing policy get right one international trip christianna called talk need concern discussed different option available problem determining value trip helpful patient spending much time needed determine right policy,comparing policy get right one international trip christian called talk need concern discussed different option available problem determining value trip helpful patient spending much time needed determine right policy,george sylvia made shopping travel insurance offered best policy fulfill criterion destiny made process easy,comparing policy get right one international trip christianna called talk need concern discussed different option available problem determining value trip helpful patient spending much time needed determine right policy
AARDY,"Travel Agents Andrea and Sylvia were kind, patient and very knowledgeable about various plans.  I feel confident that the two policies I purchased will meet my needs.",5,travel agent andrea sylvia kind patient knowledgeable various plan feel confident two policy purchased meet need,travel agent andrew sylvis kind patient knowledgeable various plan feel confident two policy purchased meet need,clear concise patiently answered question shopped around lot found best deal trip,travel agent andrea sylvia kind patient knowledgeable various plan feel confident two policy purchased meet need
AARDY,Janet S. Was very helpful and informative to our situation. She took the time to take care of a policy that we had recently purchased and wanted to cancel and get a different policy .She explained and recommended the policy that we were looking at to replace our current one. VERY HELPFUL !!! THANK YOU THANK YOU !!!! Janet S.,5,janet helpful informative situation took time take care policy recently purchased wanted cancel get different policy explained recommended policy looking replace current one helpful thank thank janet,janet helpful information situation took time take care policy recently purchased wanted cancel get different policy explained recommended policy looking replace current one helpful thank thank janet,entered trip detail looking different policy coverage price agent knowledgeable helpful pleasure work,janet helpful informative situation took time take care policy recently purchased wanted cancel get different policy explained recommended policy looking replace current one helpful thank thank janet
AARDY,Customer service has been very helpful and knowledgeable. I had to cancel my plan because I was already covered with another policy. Everyone was still nice after I needed to cancel. They handled the situation quickly and promptly. I will be certain to purchase with Aardy again!!,5,customer service helpful knowledgeable cancel plan already covered another policy everyone still nice needed cancel handled situation quickly promptly certain purchase aardy,customer service helpful knowledgeable cancel plan already covered another policy everyone still nice needed cancel handled situation quickly promptly certain purchase hardy,world travel many choice ability review policy,customer service helpful knowledgeable cancel plan already covered another policy everyone still nice needed cancel handled situation quickly promptly certain purchase aardy
AARDY,Miranda and Andrea took the time and answered all our questions in regard to what travel insurance coverage would be best for us. They even reviewed our travel agreement for our trip explaining why we should have this type of Travel Insurance coverage! We look forward to our trip - trusting insurance will not be needed. But we are covered!!,5,miranda andrea took time answered question regard travel insurance coverage would best u even reviewed travel agreement trip explaining type travel insurance coverage look forward trip trusting insurance needed covered,veranda andrew took time answered question regard travel insurance coverage would best u even reviewed travel agreement trip explaining type travel insurance coverage look forward trip trusting insurance needed covered,aardy user friendly question aardy fortunate,miranda andrea took time answered question regard travel insurance coverage would best u even reviewed travel agreement trip explaining type travel insurance coverage look forward trip trusting insurance needed covered
AARDY,"Agent Destiny was very curious , knowledgeable and helpful. Seems Aardys offers are respectfable. Hopefully never have to file a claim but if so I will let you know how that goes.",5,agent destiny curious knowledgeable helpful seems aardys offer respectfable hopefully never file claim let know go,agent destiny curious knowledgeable helpful seems cards offer respectable hopefully never file claim let know go,attentive know answer question thank definitely use aardy travel insurance came upon offer aardy give quotei provided information needed,agent destiny curious knowledgeable helpful seems aardys offer respectfable hopefully never file claim let know go
AARDY,"The website is clear, informative and easy to navigate. I decided to call the office to clear up my own issues and was very efficiently helped by Denise, one of the agents. Denise was friendly, answered my questions simply and accurately, and actually filled out the application for me. I certainly give her a 5 out of five, and generally recommend Aardy.com to anyone needing travel insurance.",5,website clear informative easy navigate decided call office clear issue efficiently helped denise one agent denise friendly answered question simply accurately actually filled application certainly give five generally recommend aardycom anyone needing travel insurance,webster clear information easy navigable decided call office clear issue efficiently helped dense one agent dense friendly answered question simply accurately actually filled application certainly give five generally recommend aardycom anyone needing travel insurance,agent helped knowledgeable pleasant work highly recommend sylvia service outstanding,website clear informative easy navigate decided call office clear issue efficiently helped denise one agent denise friendly answered question simply accurately actually filled application certainly give five generally recommend aardycom anyone needing travel insurance
