Name,Review,Number of Stars
Roamright,Do not use Aon from carnival 5 weeks still waiting for answer  I have made numerous phone calls and just keep getting the run around trying to get a refund,1
Roamright,Excellent response to.my request for quotes for an upcoming family vacation.  Rates very reasonable and was impressed our children were covered for free.  I will definitely suggest this company to others.,5
Roamright,"Arch Insurance is a professional company with great team to service customer.The team members I have contacted are very helpful, warm and professional.It all makes me feel that I can  trust Arch.Many Thanks,Molly",5
Roamright,"Kim, in her pleasant way, streamlined the entire process and explained in detail why my claim was denied.Aside from the customer service experience, this company is like most insurance companies. Their mission is to make money not to settle claims in favor of insurers. TVLC161016224.",5
Roamright,"Our comfort level traveling during the holidays, bad weather, plane delays and with heavy travel season !",5
Roamright,They are insuring customers for hazards they may not have other insurance options available.  Most people are unaware that their primary health insurance in the US will not cover many illnesses or injuries sustained outside of the U. S.,4
Roamright,"My name is Neal  In error I wrote down wrong account number for reimbursement to be put in my checking account for my wife Barbara . I spoke to numerous people who couldn’t solve the problem. I spoke to Betsy who then put me through to. Monica who spoke at length to me and told me she would get to the bottom to get my refund. Last night I looked at my account and the reimbursement was there under my name instead.I called this morning to let Monica know everything was done, Monica contacted me and spoke to Barbara, who told her we had received reimbursement.Monica is an asset to your company and we were very impressed with her concern and professionalism.",5
Roamright,"My wife was sick during our trip and required medical care, RoamRight paid the claim quickly with minimal documentation",5
Roamright,"Good coverage but inadequate medical limits. I was told that the senior medical limit would be increased to $100,000.Do I have to go to AIG?The portal does not handle renewal trips well. Why do I have to start over for each new trip",4
Roamright,"We travel quite frequently with Backroads Cycling trips and Arch RoamRight is their main travel insurance company.  So when my wife had a minor accident in Mallorca we filed a claim with Arch RoamRight. The claim was handled promptly and to our satisfaction. I then had to contact Arch RoamRight regards a couple of matters relating to address changes etc. The customer service people I dealt with were friendly, helpful and had positive attitudes. Rozel who was my primary contact and her supervisor Monica were exceptional people. My kudos to ArchRoamRight for having such employees in their company.",5
Roamright,"I had to fly home from my cruise due to my father passing away.  The documentation they request is ridiculous.  I have sent a death certificate, obituary, receipts and now they want his admission records to the hospital.  They even asked for an attending physicians report. Very frustrating!I just received this email from them today…Today at 10:44 AM vGood morning,Thank you for your email, Unfortunately without additional medical information we are unable to accurately process your claim, We cannot use his passing as the reason for the claim as it did not occur until you returned home. We cannot use the current medical information provided as the admission occurred prior to your departure therefore the illness unforeseen.We will need the records to confirm if a new illness first appeared after your departure but prior to returning home in order to review.Kind Regards,",1
Roamright,"Max was so good at explaining all options  in very simple terms. He got the quotes to me in a timely fashion. With his knowledge on travel insurance , I thought he was a seasoned representative but he has only been with the company 3 months. Very impressive young man and hoping he can help me finalize my insurance contract . Thank you . Pamela Moise",5
Roamright,"We had a wonderful experience with Arch RoamRight last year when we got Covid while travelling in Europe and had to cancel our Backroads trip. The first thing I thought of even before finalizing our trip booking today was buying travel insurance from you again. The agent I spoke to today was extremely helpful. The process is transparent and user friendly. Exactly what I needed. Once we purchase the coverage, we won’t have to think of this again. It will mean the trip went well and we didn’t need to file a claim.",5
Roamright,Agents always are able to answer questions quickly and offer travel insurance policy choices.  RoamRight also gave vouchers for cancelled trip.,5
Roamright,"Customer service is friendly, helpful and transparent. Everything they told me proved to be true, whichever agent I spoke with provided guidance and advice in a friendly manner. Wait time to speak with a rep was never more than a minute. Definitely provided relief during an uncomfortable situation",5
Roamright,Very knowledgeable representative.  Answered all of my questions and then some!,5
Roamright,"I have used RoamRight for at least 3 different trips that required travel insurance. Last trip My husband and I decided it was a good idea to have in case of a medical emergency and for other coverage as well. Our experience has been very easy to deal with the agents and purchase a policy, nothing was complicated. That being said, we have never had to make a claim, so that might be a totally different experience.",4
Roamright,Even in wars and political instability - they will not cover. Buyer Beware.Buy from Insurance with no questions asked.,1
Roamright,"We paid Rom Right premium  in full when we paid for our trip, long in advance of departure to cover preexisting conditions. After trip was cancelled because of Covid danger, we received a refund from Roam Right for less than half our payment, essentially because we were “covered” for the period prior to our departure. We were covered for what, I question. This us why people question the value of trip insurance",1
Roamright,Had to file 3 separate claims for lost/delayed luggage. Was able to speak to a live person when I needed to. Paid in a timely manner,5
Roamright,She listened to me and finally verified that my documents were good for my claim so hopefully she us correct. She also is going out if her way to help my traveling partner who us also having trouble getting a document frim the airline.,5
